time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
614400,560,194.95,73.1905,1096,300,0.2,-0.006612051976844668,0.8221436142921448,0.0003,0.0030108793,2990,0.02578125,29.40497941970825,11.136513710021973,-0.4081221580505371
616448,562,197.42,74.0498,1096,301,0.2,-0.008581447842880152,0.8224107027053833,0.0003,0.0042980374,3000,0.04169921875,33.207122039794925,15.950258255004883,-0.38939265459775924
618496,564,198.96,75.9484,1096,302,0.2,-0.00915573536476586,0.7911370396614075,0.0003,0.0038543968,3010,0.057373046875,33.49490218162536,16.97504234313965,-0.3946230374276638
620544,565,201.0,77.33,1096,303,0.2,-0.004889887751778588,0.7582340836524963,0.0003,0.002847821,3020,0.01865234375,45.64587478637695,16.915332794189453,-0.3687370829284191
622592,567,200.5,79.285,1096,304,0.2,-0.0074164473684504625,0.8558416366577148,0.0003,0.0032341147,3030,0.034375,34.14491753578186,16.72356414794922,-0.409851698577404
624640,569,197.97,78.9733,1096,305,0.2,-0.005437151028309018,0.8233226537704468,0.0003,0.0030465224,3040,0.025927734375,43.88114595413208,19.5350341796875,-0.3872837573289871
626688,571,199.33,79.51370000000001,1096,306,0.2,-0.007497030135709792,0.8479186296463013,0.0003,0.0044957786,3050,0.035693359375,40.36415033340454,19.35308265686035,-0.39066150709986686
628736,573,201.03,80.17269999999999,1096,307,0.2,-0.006761043338337913,0.8494361639022827,0.0003,0.0041988743,3060,0.031884765625,45.59068193435669,17.508779525756836,-0.38400970548391344
630784,575,206.93,81.96870000000001,1096,308,0.2,-0.006620956107508391,0.8020302057266235,0.0003,0.0035624523,3070,0.03544921875,49.005631828308104,21.672086715698242,-0.372513347864151
632832,576,204.1,81.65499999999999,1096,309,0.2,-0.007113009516615421,0.7697436809539795,0.0003,0.0035361531,3080,0.033935546875,48.97895860671997,20.742332458496094,-0.3981356017291546
634880,578,207.39,83.18709999999999,1096,310,0.2,-0.005493413901422173,0.845202624797821,0.0003,0.0028377934,3090,0.021630859375,43.811332607269286,19.737287521362305,-0.38008598014712336
636928,580,213.43,84.67669999999998,1096,311,0.2,-0.008745236846152693,0.8430091738700867,0.0003,0.0045324103,3100,0.031103515625,36.88574433326721,16.881269454956055,-0.38355123698711396
638976,582,211.72,84.24779999999998,1096,312,0.2,-0.008753504836931825,0.8418307900428772,0.0003,0.005079783,3110,0.060009765625,39.664727449417114,15.360855102539062,-0.38802480399608613
641024,585,206.76,81.22039999999998,1095,313,0.2,-0.006552364572416991,0.8199291229248047,0.0003,0.0028792312,3120,0.024951171875,43.00929327011109,18.810354232788086,-0.400517113506794
643072,586,206.69,79.1561,1095,314,0.2,-0.0060585867613554,0.7903305292129517,0.0003,0.0032051825,3130,0.0318359375,46.10080108642578,17.248916625976562,-0.3807108648121357
645120,589,206.28,77.54920000000001,1095,315,0.2,-0.008441770862555131,0.811701238155365,0.0003,0.0051762424,3140,0.050830078125,50.72395486831665,21.20621681213379,-0.3993168920278549
647168,591,208.33,77.9317,1094,316,0.2,-0.00473074892652221,0.7456756830215454,0.0003,0.001992443,3150,0.01376953125,55.49421911239624,23.342529296875,-0.39060342535376547
649216,593,210.96,79.5594,1094,317,0.2,-0.007139895594445988,0.8230636119842529,0.0003,0.0032197165,3160,0.02890625,33.53974256515503,13.117204666137695,-0.3883347064256668
